0815-10,Hero,EN,JA,,
goblin_mage_costume_candy,Skittleskull C,"・Deals 175% damage to all enemies.
・All enemies get -39% attack for 6 turns. This effect can't be cleansed.","・敵全員に175%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-39%になる。この効果は浄化不可。",MAXHITS,1
elven_archer_costume_moon,Lianna C,"・Deals 482% damage to the target.
・The target gets -34% mana generation for 3 turns.","・ターゲットに482%のダメージを与える。
・3ターンの間、ターゲットのマナ生成が-34%になる。",MODIFIERATTACKER,6
forest_titan_costume_jester,Horghall C,"・Deals 250% damage to all enemies.
・All enemies get -54% attack for 6 turns. This effect can't be cleansed.","・敵全員に250%のダメージを与える。
・6ターンの間、敵全員の攻撃力が-54%になる。この効果は浄化不可。",REALLOCATIONCOUNT,4
royal_knight_costume_glass,N/A,"・All allies become [#!]Soul Connected[#] for 5 turns. Soul Connected allies share received damage.
・All allies get 59% defense for 5 turns.
・All [##elementblue]Ice[#] allies reflect status ailments and negative stacks for 2 turns.","・5ターンの間、仲間全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった仲間同士は被ダメージを共有する。
・5ターンの間、仲間全員の防御力が59%になる。
・2ターンの間、[##elementblue]氷[#]属性の仲間全員が新たなステータス異常とマイナスの累積状態を跳ね返す。",REDUCTION,4
oriental_female_templar_costume_kimono,Li Xiu C,"・Deals 180% damage to all enemies.
・Reduces the mana of all enemies by -10%.","・敵全員に180%のダメージを与える。
・敵全員のマナが-10%減少する。",REMOVALEFFECT1STATUSEFFECT1TURNS,1
undead_running_skeleton_costume_roman,Tyrum C,・Deals 310% damage to the target.,・ターゲットに310%のダメージを与える。,REPLACINGEFFECTTURNS,1
royal_female_knight_costume_winter,Sonya C,・Deals 345% damage to the target.,・ターゲットに345%のダメージを与える。,REQUIREDTILECOUNT,1
nomad_female_shaman_costume_native,Hawkmoon C,"・All allies regenerate 24 HP over 3 turns.
・All allies get 30% attack for 3 turns. This effect can't be dispelled.","・3ターンに渡って、仲間全員のHPが24回復する。
・3ターンの間、仲間全員の攻撃力が30%になる。この効果は解除できない。",STATUSEFFECT1INSANITYTOADD,1
blackguard_knight_costume_elegant,Rigard C,"・All allies regenerate 24 HP over 3 turns.
・All allies get 48% attack for 3 turns. This effect can't be dispelled.","・3ターンに渡って、仲間全員のHPが24回復する。
・3ターンの間、仲間全員の攻撃力が48%になる。この効果は解除できない。",STATUSEFFECT1MAXSTACK,2
cultist_inventor_costume_steam,Quintus C,"・Deals 235% damage to all enemies.
・All enemies get -34% attack for 4 turns. This effect can't be cleansed.","・敵全員に235%のダメージを与える。
・4ターンの間、敵全員の攻撃力が-34%になる。この効果は浄化不可。",STATUSEFFECT1TURNS,2
nordic_ice_enchantress_costume_aqua,Isarnia C,"・Deals 255% damage to all enemies.
・All enemies get -34% defense for 6 turns. This effect can't be dispelled.","・敵全員に255%のダメージを与える。
・6ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。",STATUSEFFECTS,2
lizardman_warrior_costume_dinosaur,Isshtak C,"・Deals 185% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -44% defense for 4 turns.","・ターゲットに185%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の防御力が-44%になる。",THRESHOLD1,7
lizardman_trapper_costume_shaman,Kashhrek C,"・Boosts health of the caster and nearby allies by 450. Boosted health can exceed max HP.
・The caster and nearby allies get 64% defense against [#ff9f81]Fire[#] for 3 turns.","・術者と近くにいる仲間のライフを450回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・術者と近くにいる仲間の[#ff9f81]炎属性[#]への防御力が64%になる(3ターン)",TURNS,2
forest_friar_costume_explorer,Friar Tuck C,"・Recovers 22% health for all allies.
・All allies get 24% mana generation for 3 turns.","・仲間全員のライフを22%回復する。
・3ターンの間、仲間全員のマナ生成が24%になる。",,
exalted_warrior_costume_ice,Magni C,"・Deals 420% damage to the target.
・The target and nearby enemies get -34% defense for 4 turns.","・ターゲットに420%のダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の防御力が-34%になる。",,
dwarven_smasher_costume_smith,Karil C,"・Deals 240% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies receive 66 Burn damage over 3 turns.","・ターゲットに240%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵に66の燃焼ダメージを与える。",,
dwarven_guard_costume_ram,Boril C,・All allies counterattack with 25% of the damage received for 4 turns.,・4ターンの間、仲間全員が受けたダメージの25%で反撃する。,,
cultist_sorceress_costume_shaman,Sartana C,・Deals 532% damage to the target.,・ターゲットに532%のダメージを与える。,,
blackguard_skulker_costume_doctor,Renfeld C,"・Deals 195% damage to the target.
・The caster steals generated mana of the target and the nearby enemies over 4 turns starting low and increasing every turn until on the last turn all the generated mana is stolen. This effect can't be cleansed, but gets removed if the caster is defeated.","・ターゲットに195%のダメージを与える。
・術者がターゲットと近くにいる敵のマナを4ターンに渡って奪う。最初は少量しか奪えないが、ターン毎に奪える量が増え、生成されたすべてのマナを奪うまで続く。この効果は浄化不可だが、術者が倒れると解除される。",,
forest_archer_costume_warrior,Berden C,"・Deals 325% damage to the target.
・The target gets -34% defense for 6 turns. This effect can't be cleansed.","・ターゲットに325%のダメージを与える。
・6ターンの間、ターゲットの防御力が-34%になる。この効果は浄化できない。",,
elven_captain_costume_mask,Caedmon C,・Deals 345% damage to the target.,・ターゲットに345%のダメージを与える。,,
dwarwen_brewmaster_costume_guitarist,Kiril C,"・Recovers 28% health for all allies.
・All enemies get -34% attack for 3 turns. This effect can't be cleansed.
・All enemies get -34% defense for 3 turns. This effect can't be dispelled.","・仲間全員のライフを28%回復する。
・3ターンの間、敵全員の攻撃力が-34%になる。この効果は浄化不可。
・3ターンの間、敵全員の防御力が-34%になる。この効果は解除できない。",,
cultist_mage_costume_voodoo,Balthazar C,"・Deals 315% damage to the target.
・The target receives 66 Poison damage over 3 turns.","・ターゲットに315%のダメージを与える。
・3ターンの間、ターゲットに66の毒ダメージを与える。",,
blackguard_female_captain_costume_musketeer,Prisca C,・Deals 205% damage to the target and minor damage to nearby enemies.,・ターゲットに205%ダメージ、近くにいる敵に小ダメージを与える。,,
nomad_female_swordmaster_costume_native,Azar C,"・Deals 170% damage to the target and nearby enemies.
・Reduces the mana of the target and nearby enemies by -15%.","・ターゲットと近くにいる敵に170%のダメージを与える。
・ターゲットと近くにいる敵のマナが-15%減少する。",,
magitech_sniper_costume_steampunk,Domitia C,"・Deals 400% damage to the target.
・The target and nearby enemies receive 544 Poison damage over 4 turns.","・ターゲットに400%のダメージを与える。
・4ターンの間、ターゲットと近くにいる敵に544の毒ダメージを与える。",,
lionman_barbarian_costume_armor,Azlar C,"・Deals 205% damage to the target and nearby enemies.
・Deals +200% damage to enemies with more than +200% health remaining.
・The target and nearby enemies receive 718 Burn damage over 2 turns.","・ターゲットと近くにいる敵に205%のダメージを与える。
・敵の残りのライフが+200%以上の場合、+200%のダメージを与える。
・2ターンの間、ターゲットと近くにいる敵に718の燃焼ダメージを与える。",,
goblin_fighter_costume_evil,Carver C,"・Deals 125% damage to all enemies.
・All enemies get -24% mana generation for 3 turns.","・敵全員に125%のダメージを与える。
・3ターンの間、敵全員のマナ生成が-24%になる。",,
forest_woodsman_warrior_costume_camouflage,Little John C,"・Deals 185% damage to all enemies.
・The caster and nearby allies have from 24% to 24% chance to dodge Special Skills that deal damage. The higher the damage from the Special Skill is, the higher the chance there is to dodge it. Each dodge gives 24% mana to the target. The effect lasts for 4 turns.","・敵全員に185%のダメージを与える。
・術者と近くにいる仲間が攻撃系の特殊スキルを回避する確率が、24%から24%になる。特殊スキルよって与えられるダメージが大きいほど、回避の確率も高くなる。回避に成功するたびに、対象者のマナが24%になる。この効果は、4ターン続く。",,
forest_male_elf_costume_dark,Elkanen C,"・Deals 280% damage to the target and nearby enemies.
・The caster steals 40% of any healing applied to the target and nearby enemies for 3 turns.","・ターゲットと近くにいる敵に280%のダメージを与える。
・3ターンの間、術者が、ターゲットと近くにいる敵に適用されたあらゆる種類の回復の40%を盗む。",,
forest_female_spirit_costume_autumn,Belith C,"・All allies regenerate 24 HP over 3 turns.
・All allies are immune to buff dispels and reallocations for 3 turns.","・3ターンに渡って、仲間全員のHPが24回復する。
・3ターンの間、仲間全員がバフ解除および再割り当てに耐性を持つ。",,
forest_female_elf_costume_mage,Kadilen C,"・Deals 170% damage to all enemies.
・All allies get 31% chance to dodge Special Skills for 3 turns. Each dodge summons a Sakura Fox Minion.","・敵全員に170%のダメージを与える。
・3ターンの間、仲間全員が31%の確率で特殊スキルを回避する。回避が成功するたびに、サクラフォックスのミニオンをサモンする。",,
nomad_female_captain_costume_pirate,Marjana C,"・Deals 358% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -54% defense against [#ff9f81]Fire[#] for 3 turns.
・All [#41d8fe]Ice[#] enemies get -34% attack for 3 turns.","・ターゲットに358%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵の[#ff9f81]炎属性[#]への防御力が-54%になる。
・3ターンの間、すべての[#41d8fe]氷属性[#]の敵の攻撃力が-34%になる。",,
nomad_mage_costume_goggles,Jahangir C,"・Deals 115% damage to all enemies.
・All enemies receive 172 Burn damage over 4 turns.","・敵全員に115%のダメージを与える。
・4ターンの間、敵全員に172の燃焼ダメージを与える。",,
oriental_warrior_king_costume_roman,Leonidas C,"・Deals 390% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get -54% defense against [#f2e33a]Holy[#] for 4 turns.
・All [#e290ff]Dark[#] enemies get -34% attack for 4 turns.","・ターゲットに390%ダメージ、近くにいる敵に小ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の[#f2e33a]聖属性[#]に対する防御力が-54%になる。
・4ターンの間、すべての[#e290ff]闇属性[#]の敵の攻撃力が-34%になる。",,
orc_troopmaster_costume_merchant,Gormek C,"・Deals 180% damage to all enemies.
・Destroys all Fiends from all allies.
・All allies recover 80 HP for each destroyed Minion.","・敵全員に180%のダメージを与える。
・仲間全員のフィエンドをすべて撃破する。
・ミニオンを倒す毎に、仲間全員のHPが80回復する。",,
nordic_chained_werewolf_costume_raccoon,Graymane C,"・Deals 235% damage to the target.
・The caster is immune to new status ailments for 3 turns. This effect can't be dispelled.
・The caster gets 50% attack for 3 turns. This effect can't be cleansed.","・ターゲットに235%のダメージを与える。
・3ターンに渡って、術者が新たなステータス異常を無効化する。この効果は解除できない。
・3ターンの間、術者の攻撃力が50%になる。この効果は浄化できない。",,
nordic_ancestral_warrior_costume_corrupted,Grimm C,"・Deals 295% damage to the target and minor damage to nearby enemies.
・The caster and nearby allies get 50% attack for 6 turns.","・ターゲットに295%ダメージ、近くにいる敵に小ダメージを与える。
・6ターンの間、術者と近くにいる仲間の攻撃力が50%になる。",,
oriental_female_guard_costume_soldier,Dawa C,"・Deals 200% damage to +200 other random enemies.
・This effect targets the same enemy as the first hit if there are no other valid targets.","・他のランダムな敵+200体に200%のダメージを与える。
・有効な他のターゲットがいない場合、最初の攻撃を受けた敵をもう一度攻撃する。",,
nomad_female_assassin_costume_poison,Scarlett C,"・Deals 185% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies receive 156 Poison damage over 3 turns.
・The caster and nearby allies get 30% attack for 3 turns.","・ターゲットに185%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵に156の毒ダメージを与える。
・3ターンの間、術者と近くにいる仲間の攻撃力が30%になる。",,
undead_captain_warrior_costume_prince,Cyprian C,・All allies counterattack with 25% of the damage received for 4 turns.,・4ターンの間、仲間全員が受けたダメージの25%で反撃する。,,
exalted_female_statue_costume_sungoddess,Justice C,"・Deals 250% damage to all enemies.
・The damage is increased by +50% per each defeated ally.
・The caster gets 24% mana generation for 3 turns. This effect can't be dispelled.","・敵全員に250%のダメージを与える。
・倒れた仲間1人につき攻撃力が+50%増加する。
・3ターンの間、術者のマナ生成が24%になる。この効果は解除できない。",,
undead_horned_skeleton_costume_fool,Oberon C,・All enemies receive 357 Poison damage over 3 turns.,・3ターンの間、敵全員に357の毒ダメージを与える。,,
oriental_panda_berserker_costume_farmer,Gan Ju C,"・Deals 220% damage to the target.
・Reduces the mana of the target by -40%.","・ターゲットに220%のダメージを与える。
・ターゲットのマナが-40%減少する。",,
royal_knight_commander_costume_king,Thorne C,"・Deals 540% damage to the target.
・The caster gets 24% mana generation for 3 turns. This effect can't be dispelled.","・ターゲットに540%のダメージを与える。
・3ターンの間、術者のマナ生成が24%になる。この効果は解除できない。",,
nordic_swordman_costume_climber,Valen C,"・Deals 335% damage to the target.
・The caster gets 54% attack for 6 turns. This effect can't be cleansed.","・ターゲットに335%のダメージを与える。
・6ターンの間、術者の攻撃力が54%になる。この効果は浄化できない。",,
oriental_panda_warrior_costume_armor,Hu Tao C,"・Deals 160% damage to all enemies.
・All enemies get -116% accuracy for 4 turns.
・All enemies get 50% increase for any healing received for 4 turns.","・敵全員に160%のダメージを与える。
・4ターンの間、敵全員の命中率が-116%になる。
・4ターンの間、敵全員の回復量が50%になる。",,
undead_female_warrior_costume_princess,Sabina C,"・All allies regenerate 5 HP over 3 turns.
・All enemies are immune to new status effect buffs for 3 turns.","・3ターンに渡って、仲間全員のHPが5回復する。
・3ターンの間、敵に新しく追加されるステータス効果を付与するバフを無効化する。",,
nomad_female_berserker_costume_shaman,Kelile C,・All enemies receive 346 Burn damage over 2 turns.,・2ターンの間、敵全員に346の燃焼ダメージを与える。,,
oriental_female_mage_costume_mender,Kailani C,"・All allies become [#!]Soul Connected[#] for 5 turns. Soul Connected allies share received damage.
・All allies get 50% attack for 5 turns. This effect can't be dispelled.","・5ターンの間、仲間全員に[#!]ソウル・コネクト[#]が発動する。ソウル・コネクトによって魂が繋がった仲間同士は被ダメージを共有する。
・5ターンの間、仲間全員の攻撃力が50%になる。この効果は解除できない。",,
nordic_mage_costume_hermit,Ulmer C,"・Deals 145% damage to all enemies.
・All allies get 48% attack for 6 turns. This effect can't be dispelled.","・敵全員に145%のダメージを与える。
・6ターンの間、仲間全員の攻撃力が48%になる。この効果は解除できない。",,
tribal_chief_costume_conqueror,Khagan C,"・Deals 514% damage to the target.
・All allies get 12% mana generation for 5 turns.
・All allies get 46% defense for 5 turns.","・ターゲットに514%のダメージを与える。
・5ターンの間、仲間全員のマナ生成が12%になる。
・5ターンの間、仲間全員の防御力が46%になる。",,
nomad_axe_adventurer_costume_magma,Colen C,"・Deals 240% damage to all enemies.
・All enemies receive 231 Burn damage over 3 turns.","・敵全員に240%のダメージを与える。
・3ターンの間、敵全員に231の燃焼ダメージを与える。",,
orc_warrior_costume_urukhai,Nashgar C,"・Deals 260% damage to the target.
・The target receives 141 Burn damage over 3 turns.","・ターゲットに260%のダメージを与える。
・3ターンの間、ターゲットに141の燃焼ダメージを与える。",,
underworld_champion_costume_champion,Obakan C,"・Deals 182% damage to all enemies.
・The caster and nearby allies counterattack with 50% of the damage received for 4 turns.","・敵全員に182%のダメージを与える。
・4ターンの間、術者と近くにいる仲間が受けたダメージの50%で反撃する。",,
oriental_falconer_costume_dodo,Chao C,"・Deals 275% damage to the target.
・The caster steals generated mana of the target over 4 turns starting low and increasing every turn until on the last turn all the generated mana is stolen. This effect can't be cleansed, but it gets removed if the caster is defeated.","・ターゲットに275%のダメージを与える。
・術者がターゲットのマナを4ターンに渡って奪う。最初は少量しか奪えないが、ターン毎に奪える量が増え、生成されたすべてのマナを奪うまで続く。この効果は浄化不可だが、術者が倒れると消える。",,
oriental_monkey_captain_costume_warrior,Wu Kong C,"・Deals 210% damage to all enemies.
・The caster gets -20% defense for 3 turns. This effect can't be dispelled.","・敵全員に210%のダメージを与える。
・術者が防御力-20%を得る(3ターン)。この効果は解除不可",,
s2_poseidon_costume_slayer,Poseidon C,"・Deals 480% damage to the target.
・All allies are immune to new status ailments for 3 turns. This effect can't be dispelled.","・ターゲットに480%のダメージを与える。
・3ターンに渡って、仲間全員が新たなステータス異常を無効化する。この効果は解除できない。",,
s2_ariel_costume_enchanter,Ariel C,"・Boosts health of all allies by 520. Boosted health can exceed max HP.
・All allies receive a small amount of mana over 4 turns.","・仲間全員のHPを520回復する。ライフ値が最大HPを超えた場合は、一時的に最大HP値が増加する。
・4ターンに渡って、仲間全員が少量のマナを獲得する。",,
s2_cursed_samurai_costume_beetle,Kageburado C,"・Deals 320% damage to the target.
・The target is immune to new status effect buffs for 2 turns.
・The target gets -34% defense for 2 turns. This effect can't be cleansed.","・ターゲットに320%のダメージを与える。
・2ターンの間、ターゲットに新しく追加されるステータス効果を付与するバフを無効化する。
・2ターンの間、ターゲットの防御力が-34%になる。この効果は浄化できない。",,
s2_ursena_costume_reef,Ursena C,"・Deals 130% damage to all enemies.
・Deals +200% damage to enemies with more than +200% health remaining.
・All allies reflect all status effects and 80% damage back to the attacker and block other negative effects from enemies' [##elementred]Fire[#] Special Skills for 4 turns. This effect can't be dispelled.
・All [##elementyellow]Holy[#] enemies get -54% defense against [#e290ff]Dark[#] for 4 turns.","・敵全員に130%のダメージを与える。
・敵の残りのライフが+200%以上の場合、+200%のダメージを与える。
・仲間全員が、すべてのステータス効果を跳ね返す。さらに、4ターンの間、[##elementred]炎属性[#]の敵の特殊スキルによって発生した、その他のマイナスの影響を無効にし、ダメージの80%を攻撃者に跳ね返す。この効果は解除不可。
・4ターンの間、[##elementyellow]聖属性[#]の敵全員の[#e290ff]闇属性[#]に対する防御力が-54%になる。",,
easter_killhare_costume_farmer,Killhare C,"・Deals 330% damage to all enemies.
・All allies except the caster get -20% attack for 3 turns. This effect can't be cleansed.","・敵全員に330%のダメージを与える。
・3ターンの間、術者以外の仲間全員の攻撃力が-20%になる。この効果は浄化できない。",,
rabbit_blue_costume_riftbreaker,Master Lepus C,"・Deals 280% damage to all enemies.
・The caster gets -24% mana generation for 4 turns. This effect can't be dispelled.","・敵全員に280%のダメージを与える。
・4ターンの間、術者のマナ生成が-24%になる。この効果は解除できない。",,
sand_queen_costume_surfer,Rana C,"・Deals 185% damage to the target and nearby enemies.
・The target and nearby enemies receive 708 Water damage over 4 turns.
・The target and nearby enemies get 25% increase for any healing received for 4 turns.","・ターゲットと近くにいる敵に185%のダメージを与える。
・4ターンの間、ターゲットと近くにいる敵に708の水ダメージを与える。
・4ターンの間、ターゲットと近くにいる敵の回復量が25%増加する。",,
sand_king_costume_lifeguard,Yunan C,"・Deals 215% damage to all enemies.
・All enemies receive 835 Sand damage over 5 turns.
・All allies get 33% mana generation for 5 turns.","・敵全員に215%のダメージを与える。
・5ターンの間、敵全員に835の砂ダメージを与える。
・5ターンの間、仲間全員のマナ生成が33%になる。",,
fire_god_doom_costume_avenger,Gravemaker C,"・Deals 175% damage to all enemies.
・All enemies receive 542 Burn damage over 2 turns.
・[#ff9f81]Element Link[#] gives all [#ff9f81]Fire[#] allies 105% attack and 105% defense for 6 turns. This effect can't be dispelled.","・敵全員に175%のダメージを与える。
・2ターンの間、敵全員に542の燃焼ダメージを与える。
・6ターンの間、[#ff9f81]属性リンク[#]により、[#ff9f81]炎属性[#]の仲間全員の攻撃力が105%になり、防御力が105%になる。この効果は解除できない。",,
dark_god_seshat_costume_revenant,Seshat C,"・Deals 420% damage to the target.
・[#e290ff]Element Link[#] gives 104% mana generation for all [#e290ff]Dark[#] allies for 4 turns. This effect can't be dispelled.","・ターゲットに420%のダメージを与える。
・4ターンの間、[#e290ff]属性リンク[#]によって、[#e290ff]闇属性[#]の仲間全員のマナ生成が104%増加する。この効果は解除できない。",,
holy_god_drake_lee_costume_serene,Drake Fong C,"・Deals 270% damage to the target and nearby enemies.
・The target and nearby enemies get -136% accuracy for 3 turns.
・[#f2e33a]Element Link[#] gives all [#f2e33a]Holy[#] allies 105% attack and 105% defense for 6 turns. This effect can't be dispelled.","・ターゲットと近くにいる敵に270%のダメージを与える。
・3ターンの間、ターゲットと近くにいる敵の命中率が-136%になる。
・6ターンの間、[#f2e33a]属性リンク[#]により、[#f2e33a]聖属性[#]の仲間全員の攻撃力が105%になり、防御力が105%になる。この効果は解除できない。",,
pirate_commodore_finley_costume_bleak,Finley C,"・If the target has buffs and is hit, targets another enemy with buffs. If none of the other enemies have buffs, targets a random enemy. The damage is reduced on each consecutive hit. Each enemy can only be hit once.
・All allies get -56% defense for 3 turns.","・攻撃したターゲットにバフがかかっている場合、バフがかかっている他の敵にも攻撃が連鎖する。バフがかかっている敵がいない場合は、ランダムな敵1体を攻撃する。連続して攻撃するたびに、与えるダメージは減少する。それぞれの敵は1度しか攻撃できない。
・3ターンの間、仲間全員の防御力が-56%になる。",,
ice_god_athena_costume_wargoddess,Athena C,"・Deals 320% damage to the target and minor damage to nearby enemies.
・The target and nearby enemies get 59% defense, and a further 59% decrease every time they are hit for 3 turns, down to 59% defense.
・All [##elementred]Fire[#] enemies get -34% defense against [#41d8fe]Ice[#] for 3 turns.
・[#41d8fe]Element Link[#] gives all [#41d8fe]Ice[#] allies 115% attack and 115% defense for 6 turns. This effect can't be dispelled.","・ターゲットに320%ダメージ、近くにいる敵に小ダメージを与える。
・3ターンの間、ターゲットと近くにいる敵の防御力が59%になる。さらに、攻撃を受けるたびに59%ずつ減少する。最大59%まで。
・3ターンの間、全ての[##elementred]炎属性[#]の敵の[#41d8fe]氷属性[#]に対する防御力が-34%になる。
・6ターンの間、[#41d8fe]属性リンク[#]により、[#41d8fe]氷属性[#]の仲間全員の攻撃力が115%になり、防御力が115%になる。この効果は解除できない。",,
forest_god_oberon_costume_everoak,Alberich C,"・Each defeated ally has a +38% chance to get revived with +28% HP.
・All allies regenerate 32 HP over 4 turns.
・All allies get 38% mana generation for 4 turns.
・[#70e92f]Element Link[#] gives all [#70e92f]Nature[#] allies 115% attack and 115% defense for 6 turns. This effect can't be dispelled.","・+38%の確率で、倒れた仲間が最大HPの+28%を有した状態で復活する。
・4ターンに渡って、仲間全員のHPが32回復する。
・4ターンの間、仲間全員のマナ生成が38%になる。
・6ターンの間、[#70e92f]属性リンク[#]により、[#70e92f]自然属性[#]の仲間全員の攻撃力が115%になり、防御力が115%になる。この効果は解除できない。",,
ice_god_eskimo_costume_champion,Alasie C,"・Deals 496% damage to the target and minor damage to nearby enemies.
・Reduces the mana of the target and nearby enemies by -10%.
・The target and nearby enemies get -24% mana generation for 3 turns.
・[#41d8fe]Element Link[#] gives all [#41d8fe]Ice[#] allies 105% attack and 105% defense for 6 turns. This effect can't be dispelled.","・ターゲットに496%ダメージ、近くにいる敵に小ダメージを与える。
・ターゲットと近くにいる敵のマナが-10%減少する。
・3ターンの間、ターゲットと近くにいる敵のマナ生成が-24%になる。
・6ターンの間、[#41d8fe]属性リンク[#]により、[#41d8fe]氷属性[#]の仲間全員の攻撃力が105%になり、防御力が105%になる。この効果は解除できない。",,
pirate_marie_therese_costume_priestess,Marie-Thérèse C,"・Deals 138% damage to all enemies.
・All allies regenerate 138 HP over 4 turns.
・All allies get 30% defense for 4 turns.
・If any ally is defeated during the next 4 turns, they are resurrected in the beginning of their next turn with 100% health. All status effects and stacks are removed when the ally is defeated.","・敵全員に138%のダメージを与える。
・4ターンに渡って、仲間全員のHPが138回復する。
・4ターンの間、仲間全員の防御力が30%になる。
・4ターン以内に仲間が倒れた場合、次のターン開始時に、100%のライフを保有した状態で復活する。すべてのステータス効果と累積は、仲間が倒れた時に解除される。",,
fables_rumpelstiltskin_costume_eternal,Rumpel[-]stiltskin C,・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_random_special_costume_rumpelstiltskin_TYPE_randomspecial,・NO_TEMPLATE_FOR_SEARCH_FAILED_FOR_random_special_costume_rumpelstiltskin_TYPE_randomspecial,,
fables_snow_white_costume_slayer,Snow White C,"・Deals 140% damage to all enemies.
[*]Deals additional +140% damage per removed status effect, up to +140% damage in total.","・敵全員に140%のダメージを与える
[*]さらに、解除したステータス効果の数に応じて+140%ずつ最大+140%のダメージが追加される。",,
